Grupo,Tanaj,Biblia Católica,Biblia Etíope,BIBLIOTECA,Fecha aproximada,Idioma original,Resumen
Torá / Antiguo Testamento,Génesis,Génesis,Génesis,,siglo X–VI a.C.,Hebreo,"Orígenes del mundo, humanidad, pecado, patriarcas (Abraham, Isaac, Jacob) y José en Egipto. Enfatiza creación, pacto ypromesas"
Torá / Antiguo Testamento,Éxodo,Éxodo,Éxodo,,siglo X–VI a.C.,Hebreo,"Liberación de Israel de Egipto (plagas, Pascua, Mar Rojo), alianza en el Sinaí y entrega de la Ley (Diez Mandamientos). Dios como libertador"
Torá / Antiguo Testamento,Levítico,Levítico,Levítico,,siglo X–VI a.C.,Hebreo,"Leyes rituales, sacrificios, pureza, santidad y fiestas. “Sed santos porque yo soy santo”"
Torá / Antiguo Testamento,Números,Números,Números,,siglo X–VI a.C.,Hebreo,"Censo, peregrinación por el desierto (40 años), rebeliones y preparativos para Canaán. Mezcla narrativa e instrucciones"
Torá / Antiguo Testamento,Deuteronomio,Deuteronomio,Deuteronomio,,siglo VII–VI a.C.,Hebreo,"Discursos de Moisés recordando la Ley, alianza y bendiciones/maldiciones. Enfatiza amor a Dios y obediencia antes de entrar en la Tierra Prometida"
Antiguo Testamento,Josué,Josué,Josué,,siglo VII–VI a.C.,Hebreo,"Conquista de Canaán bajo Josué, reparto de la tierra y renovación de la alianza"
Antiguo Testamento,Jueces,Jueces,Jueces,,siglo VII–VI a.C.,Hebreo,"Ciclo de apostasía, opresión, liberación por jueces (Gedeón, Débora, Sansón) y caos moral (“cada uno hacía lo que le parecía bien”)"
Antiguo Testamento,Rut,Rut,Rut,,siglo VI–V a.C.,Hebreo,Historia idílica de lealtad; Rut (moabita) se integra a Israel y es antepasada de David. Temas de providencia y redención
Antiguo Testamento,1 Samuel,1 Samuel,1 Samuel,,siglo VII–VI a.C.,Hebreo,"Transición de jueces a monarquía: Samuel, Saúl y ascenso de David"
Antiguo Testamento,2 Samuel,2 Samuel,2 Samuel,,siglo VII–VI a.C.,Hebreo,"Transición de jueces a monarquía: Samuel, Saúl y ascenso de David"
Antiguo Testamento,1 Reyes,1 Reyes,1 Reyes,,siglo VI a.C.,Hebreo,"Salomón (templo, sabiduría), división del reino y reyes iniciales de Judá e Israel"
Antiguo Testamento,2 Reyes,2 Reyes,2 Reyes,,siglo VI a.C.,Hebreo,"Historia de los reinos hasta la caída de Israel (Asiria) y Judá (Babilonia). Énfasis en profetas (Elías, Eliseo)"
Antiguo Testamento,1 Crónicas,1 Crónicas,1 Crónicas,,siglo IV a.C.,Hebreo,Genealogías y reinado de David (versión idealizada)
Antiguo Testamento,2 Crónicas,2 Crónicas,2 Crónicas,,siglo IV a.C.,Hebreo,"Salomón y reyes de Judá, con enfoque en templo y reforma"
Antiguo Testamento,Esdras,Esdras,Esdras,,siglo IV a.C.,Hebreo/Arameo,"Regreso del exilio, reconstrucción del templo y reforma bajo Esdras"
Antiguo Testamento,Nehemías,Nehemías,Nehemías,,siglo IV a.C.,Hebreo,Reconstrucción de murallas de Jerusalén y reforma social/religiosa
Antiguo Testamento,Ester,Ester,Ester,,siglo IV–III a.C.,Hebreo,Judía que salva a su pueblo de genocidio en Persia (Purim). Providencia oculta
Antiguo Testamento,Job,Job,Job,,siglo VI–IV a.C.,Hebreo,"Sufrimiento del justo Job, diálogos con amigos y encuentro con Dios. Cuestiona retribución y soberanía divina"
Antiguo Testamento,Salmos,Salmos,Salmos,,siglo X–V a.C.,Hebreo,"150 himnos/oraciones de alabanza, lamento, confianza y realeza mesiánica"
Antiguo Testamento,Proverbios,Proverbios,Proverbios,,siglo X–V a.C.,Hebreo,Sabiduría práctica para la vida (temor de Dios como principio)
Antiguo Testamento,Eclesiastés,Eclesiastés,Eclesiastés,,siglo III a.C.,Hebreo,“Vanidad de vanidades”. Reflexión escéptica sobre sentido de la vida bajo el sol; temor a Dios como conclusión
Antiguo Testamento,Cantar de los Cantares,Cantar de los Cantares,Cantar de los Cantares,,siglo X–V a.C.,Hebreo,Poema erótico/alegórico sobre amor humano (y/o divino)
Antiguo Testamento,Isaías,Isaías,Isaías,,siglo VIII–VI a.C.,Hebreo,"Juicio, resurrección, Siervo Sufriente y esperanza mesiánica"
Antiguo Testamento,Jeremías,Jeremías,Jeremías,,siglo VII–VI a.C.,Hebreo,Llamado al arrepentimiento antes del exilio; “nuevo pacto”
Antiguo Testamento,Lamentaciones,Lamentaciones,Lamentaciones,,siglo VI a.C.,Hebreo,Lamentos por destrucción de Jerusalén (atribuidos tradicionalmente a Jeremías)
Antiguo Testamento,Ezequiel,Ezequiel,Ezequiel,,siglo VI a.C.,Hebreo,"Visión de gloria de Dios, exilio, restauración y templo futuro"
Antiguo Testamento,Daniel,Daniel,Daniel,,siglo II a.C.,Hebreo/Arameo,Historias en corte babilónica + visiones apocalípticas de reinos y fin de los tiempos.
Antiguo Testamento,Oseas,Oseas,Oseas,,siglo VIII a.C.,Hebreo,Matrimonio simbólico de infidelidad; amor de Dios por Israel infiel
Antiguo Testamento,Joel,Joel,Joel,,siglo V–IV a.C.,Hebreo,"Plaga de langostas, “día del Señor” y derramamiento del Espíritu"
Antiguo Testamento,Amós,Amós,Amós,,siglo VIII a.C.,Hebreo,Justicia social; juicio contra opresión e idolatría
Antiguo Testamento,Abdías,Abdías,Abdías,,siglo VI a.C.,Hebreo,Juicio contra Edom
Antiguo Testamento,Jonás,Jonás,Jonás,,siglo V a.C.,Hebreo,Misión a Nínive; misericordia de Dios incluso para paganos
Antiguo Testamento,Miqueas,Miqueas,Miqueas,,siglo VIII a.C.,Hebreo,"Juicio, restauración y promesa mesiánica (“Belén”)"
Antiguo Testamento,Nahúm,Nahúm,Nahúm,,siglo VII a.C.,Hebreo,Caída de Nínive/Asiria
Antiguo Testamento,Habacuc,Habacuc,Habacuc,,siglo VII–VI a.C.,Hebreo,“El justo vivirá por su fe”; queja y confianza en medio de injusticia.
Antiguo Testamento,Sofonías,Sofonías,Sofonías,,siglo VII a.C.,Hebreo,Día de juicio y restauración.
Antiguo Testamento,Ageo,Ageo,Ageo,,siglo VI a.C.,Hebreo,Reconstruir el templo.
Antiguo Testamento,Zacarías,Zacarías,Zacarías,,siglo VI a.C.,Hebreo,"Visiones, restauración y Mesías."
Antiguo Testamento,Malaquías,Malaquías,Malaquías,,siglo V a.C.,Hebreo,"Visiones, restauración y Mesías."
Deuterocanónicos / Antiguo Testamento,,Tobías,Tobías,,siglo III–II a.C.,Arameo/Hebreo,"Historia familiar con ángel Rafael; temas de piedad, matrimonio y providencia."
Deuterocanónicos / Antiguo Testamento,,Judit,Judit,,siglo II a.C.,Hebreo/Arameo,Heroína viuda que libera a Israel matando al general asirio.
